capturing 60s on Command|8:Command|8 MIDI 1 24:0 ...
note_on n=5 v=64                 -> FaderTouchEvent(fader=0, touched=True)
cc c=49 v=40                     -> FaderMoveEvent(fader=1, value=40, value10=326)
cc c=9 v=42                      -> FaderMoveEvent(fader=1, value=42, value10=337)
cc c=33 v=43                     -> FaderMoveEvent(fader=1, value=43, value10=348)
cc c=57 v=44                     -> FaderMoveEvent(fader=1, value=44, value10=359)
cc c=17 v=46                     -> FaderMoveEvent(fader=1, value=46, value10=370)
cc c=41 v=47                     -> FaderMoveEvent(fader=1, value=47, value10=381)
cc c=1 v=49                      -> FaderMoveEvent(fader=1, value=49, value10=392)
cc c=25 v=50                     -> FaderMoveEvent(fader=1, value=50, value10=403)
cc c=49 v=51                     -> FaderMoveEvent(fader=1, value=51, value10=414)
cc c=1 v=53                      -> FaderMoveEvent(fader=1, value=53, value10=424)
cc c=25 v=54                     -> FaderMoveEvent(fader=1, value=54, value10=435)
cc c=41 v=55                     -> FaderMoveEvent(fader=1, value=55, value10=445)
cc c=57 v=56                     -> FaderMoveEvent(fader=1, value=56, value10=455)
cc c=9 v=58                      -> FaderMoveEvent(fader=1, value=58, value10=465)
cc c=25 v=59                     -> FaderMoveEvent(fader=1, value=59, value10=475)
cc c=41 v=60                     -> FaderMoveEvent(fader=1, value=60, value10=485)
cc c=49 v=61                     -> FaderMoveEvent(fader=1, value=61, value10=494)
cc c=1 v=63                      -> FaderMoveEvent(fader=1, value=63, value10=504)
cc c=9 v=64                      -> FaderMoveEvent(fader=1, value=64, value10=513)
cc c=25 v=65                     -> FaderMoveEvent(fader=1, value=65, value10=523)
cc c=41 v=66                     -> FaderMoveEvent(fader=1, value=66, value10=533)
cc c=57 v=67                     -> FaderMoveEvent(fader=1, value=67, value10=543)
cc c=1 v=69                      -> FaderMoveEvent(fader=1, value=69, value10=552)
cc c=17 v=70                     -> FaderMoveEvent(fader=1, value=70, value10=562)
cc c=33 v=71                     -> FaderMoveEvent(fader=1, value=71, value10=572)
cc c=41 v=72                     -> FaderMoveEvent(fader=1, value=72, value10=581)
cc c=57 v=73                     -> FaderMoveEvent(fader=1, value=73, value10=591)
cc c=1 v=75                      -> FaderMoveEvent(fader=1, value=75, value10=600)
cc c=1 v=76                      -> FaderMoveEvent(fader=1, value=76, value10=608)
cc c=9 v=77                      -> FaderMoveEvent(fader=1, value=77, value10=617)
cc c=17 v=78                     -> FaderMoveEvent(fader=1, value=78, value10=626)
cc c=25 v=79                     -> FaderMoveEvent(fader=1, value=79, value10=635)
cc c=25 v=80                     -> FaderMoveEvent(fader=1, value=80, value10=643)
cc c=25 v=81                     -> FaderMoveEvent(fader=1, value=81, value10=651)
cc c=33 v=82                     -> FaderMoveEvent(fader=1, value=82, value10=660)
cc c=33 v=83                     -> FaderMoveEvent(fader=1, value=83, value10=668)
cc c=33 v=84                     -> FaderMoveEvent(fader=1, value=84, value10=676)
cc c=33 v=85                     -> FaderMoveEvent(fader=1, value=85, value10=684)
cc c=33 v=86                     -> FaderMoveEvent(fader=1, value=86, value10=692)
cc c=41 v=87                     -> FaderMoveEvent(fader=1, value=87, value10=701)
cc c=41 v=88                     -> FaderMoveEvent(fader=1, value=88, value10=709)
